,experiment,target,lang,translator,model,tw,type,f1,support,soubor,tweet,red,support
,,,,,,,,,,,,,
1,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'tweet': 'tweet', 'red': 'red'}",ru,cs,helsinki,xlm,,all,37.6,36200,r_ru_cs_helsinki_xlm_epoch_ref_tweet_reduced_3.csv,tweet,red,362
2,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,cs,helsinki,xlm,,all,55.1,43100,r_ru_cs_helsinki_xlm_epoch_3.csv,no,no,431
3,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,cs,origin,xlm,,all,60.1,43100,r_ru_cs_origin_xlm_epoch_2.csv,no,no,431
4,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'tweet': 'tweet', 'red': 'red'}",ua,cs,helsinki,xlm,,all,60,29800,r_ua_cs_helsinki_xlm_epoch_ref_tweet_reduced_3.csv,tweet,red,298
5,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'tweet': 'tweet', 'red': 'red'}",ru,cs,helsinki,xlm,,all,41.5,36200,r_ru_cs_helsinki_xlm_nepochs5_ref_tweet_reduced_3.csv,tweet,red,362
6,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,cs,helsinki,xlm,,all,63.1,41000,r_ua_cs_helsinki_xlm_epoch_3.csv,no,no,410
7,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ru,cs,deepl,xlm,,all,52.5,43100,r_ru_cs_deepl_xlm_epoch_ref_tweet_3.csv,tweet,no,431
8,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'red': 'red', 'tweet': 'no'}",ua,cs,helsinki,xlm,,all,70.6,29800,r_ua_cs_helsinki_xlm_epoch_reduced_3.csv,no,red,298
9,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,pl,origin,xlm,,all,55.5,16000,r_ua_pl_origin_xlm_epoch_ref_tweet_2.csv,tweet,no,160
10,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,pl,helsinki,xlm,,all,55.4,16000,r_ua_pl_helsinki_xlm_epoch_ref_tweet_3.csv,tweet,no,160
11,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,cs,deepl,xlm,,all,61.8,41000,r_ua_cs_deepl_xlm_epoch_3.csv,no,no,410
12,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,pl,origin,xlm,,all,61.8,16000,r_ua_pl_origin_xlm_epoch_3.csv,no,no,160
13,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ru,cs,helsinki,xlm,,all,53.6,43100,r_ru_cs_helsinki_xlm_epoch_ref_tweet_3.csv,tweet,no,431
14,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,cs,deepl,xlm,,all,59.8,41000,r_ua_cs_deepl_xlm_epoch_ref_tweet_3.csv,tweet,no,410
15,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ru,hu,deepl,xlm,,all,60.1,13900,r_ru_hu_deepl_xlm_epoch_ref_tweet_3.csv,tweet,no,139
16,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ru,cs,origin,xlm,,all,52.6,43100,r_ru_cs_origin_xlm_epoch_ref_tweet_2.csv,tweet,no,431
17,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,hu,origin,xlm,,all,56.2,15700,r_ua_hu_origin_xlm_epoch_ref_tweet_3.csv,tweet,no,157
18,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,hu,helsinki,xlm,,all,57.6,15700,r_ua_hu_helsinki_xlm_epoch_3.csv,no,no,157
19,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'red': 'red', 'tweet': 'no'}",ru,cs,helsinki,xlm,,all,37.6,36200,r_ru_cs_helsinki_xlm_epoch_reduced_3.csv,no,red,362
20,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,hu,deepl,xlm,,all,67.8,13900,r_ru_hu_deepl_xlm_epoch_3.csv,no,no,139
21,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,cs,origin,xlm,,all,63.4,41000,r_ua_cs_origin_xlm_epoch_2.csv,no,no,410
22,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ru,pl,origin,xlm,,all,47.6,14300,r_ru_pl_origin_xlm_epoch_ref_tweet_3.csv,tweet,no,143
23,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,hu,origin,xlm,,all,54.4,15700,r_ua_hu_origin_xlm_epoch_3.csv,no,no,157
24,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,pl,deepl,xlm,,all,47,14300,r_ru_pl_deepl_xlm_epoch_3.csv,no,no,143
25,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,cs,helsinki,xlm,,all,59.9,41000,r_ua_cs_helsinki_xlm_epoch_ref_tweet_3.csv,tweet,no,410
26,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,cs,deepl,xlm,,all,59.9,43100,r_ru_cs_deepl_xlm_epoch_3.csv,no,no,431
27,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,pl,deepl,xlm,,all,57.3,16000,r_ua_pl_deepl_xlm_epoch_ref_tweet_3.csv,tweet,no,160
28,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,hu,deepl,xlm,,all,60.1,15700,r_ua_hu_deepl_xlm_epoch_3.csv,no,no,157
29,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ru,hu,origin,xlm,,all,52.5,13900,r_ru_hu_origin_xlm_epoch_ref_tweet_3.csv,tweet,no,139
30,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,pl,helsinki,xlm,,all,51.7,14300,r_ru_pl_helsinki_xlm_epoch_3.csv,no,no,143
31,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ru,pl,deepl,xlm,,all,56.1,14300,r_ru_pl_deepl_xlm_epoch_ref_tweet_3.csv,tweet,no,143
32,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,pl,deepl,xlm,,all,60.4,16000,r_ua_pl_deepl_xlm_epoch_3.csv,no,no,160
33,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,hu,helsinki,xlm,,all,54.9,15700,r_ua_hu_helsinki_xlm_epoch_ref_tweet_3.csv,tweet,no,157
34,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,pl,origin,xlm,,all,49.8,14300,r_ru_pl_origin_xlm_epoch_3.csv,no,no,143
35,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ua,pl,helsinki,xlm,,all,53.8,16000,r_ua_pl_helsinki_xlm_epoch_3.csv,no,no,160
36,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,hu,deepl,xlm,,all,59.3,15700,r_ua_hu_deepl_xlm_epoch_ref_tweet_3.csv,tweet,no,157
37,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'tweet': 'tweet', 'red': 'no'}",ua,cs,origin,xlm,,all,64.4,41000,r_ua_cs_origin_xlm_epoch_ref_tweet_2.csv,tweet,no,410
38,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,hu,helsinki,xlm,,all,65.4,13900,r_ru_hu_helsinki_xlm_epoch_3.csv,no,no,139
39,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'xlm', 'red': 'no', 'tweet': 'no'}",ru,hu,origin,xlm,,all,60.1,13900,r_ru_hu_origin_xlm_epoch_3.csv,no,no,139
